eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85143260324,,,,EXPRESSIVENESS AND APPROXIMATION PROPERTIES OF GRAPH NEURAL NETWORKS,cp,Conference Paper,Geerts F.,60012937;60029681;60281481,Universiteit Antwerpen;Pontificia Universidad Católica de Chile;Instituto Milenio Fundamentos de los Datos,Antwerpen;Santiago;Santiago,Belgium;Chile;Chile,2.0,"Geerts, Floris;Reutter, Juan L.",55971823600;34880850800,60012937;60029681-60281481,2022-01-01,2022,Iclr 2022 10th International Conference on Learning Representations,,21101141642.0,,Conference Proceeding,,,,,"Characterizing the separation power of graph neural networks (GNNs) provides an understanding of their limitations for graph learning tasks. Results regarding separation power are, however, usually geared at specific GNN architectures, and tools for understanding arbitrary GNN architectures are generally lacking. We provide an elegant way to easily obtain bounds on the separation power of GNNs in terms of the Weisfeiler-Leman (WL) tests, which have become the yardstick to measure the separation power of GNNs. The crux is to view GNNs as expressions in a procedural tensor language describing the computations in the layers of the GNNs. Then, by a simple analysis of the obtained expressions, in terms of the number of indexes and the nesting depth of summations, bounds on the separation power in terms of the WL-tests readily follow. We use tensor language to define Higher-Order Message-Passing Neural Networks (or k-MPNNs), a natural extension of MPNNs. Furthermore, the tensor language point of view allows for the derivation of universality results for classes of GNNs in a natural way. Our approach provides a toolbox with which GNN architecture designers can analyze the separation power of their GNNs, without needing to know the intricacies of the WL-tests. We also provide insights in what is needed to boost the separation power of GNNs.",,52,0.0,,,ANID,ICN17 002,Agencia Nacional de Investigación y Desarrollo
2-s2.0-85150387385,,,,EXT5: TOWARDS EXTREME MULTI-TASK SCALING FOR TRANSFER LEARNING,cp,Conference Paper,Aribandi V.,60006191;123683234;129320562;129320814,Google LLC;CMU;DeepMind;Google AI Resident,Mountain View;Philadelphia;;,United States;United States;;,14.0,"Aribandi, Vamsi;Tay, Yi;Schuster, Tal;Rao, Jinfeng;Zheng, Huaixiu Steven;Mehta, Sanket Vaibhav;Zhuang, Honglei;Tran, Vinh Q.;Bahri, Dara;Ni, Jianmo;Gupta, Jai;Hui, Kai;Ruder, Sebastian;Metzler, Donald",57222420079;57193627780;57205163573;57819866800;57358362900;57215715184;49862566500;57222289048;57208443989;56903531900;57209227084;56732503400;57197872736;57204248523,60006191-129320814;60006191;60006191;60006191;60006191;60006191-123683234;60006191;60006191;60006191;60006191;60006191;60006191;60006191-129320562;60006191,2022-01-01,2022,Iclr 2022 10th International Conference on Learning Representations,,21101141642.0,,Conference Proceeding,,,,,"Despite the recent success of multi-task learning and transfer learning for natural language processing (NLP), few works have systematically studied the effect of scaling up the number of tasks during pre-training. Towards this goal, this paper introduces EXMIX (Extreme Mixture): a massive collection of 107 supervised NLP tasks across diverse domains and task-families. Using EXMIX, we study the effect of multi-task pre-training at the largest scale to date, and analyze co-training transfer amongst common families of tasks. Through this analysis, we show that manually curating an ideal set of tasks for multi-task pre-training is not straightforward, and that multi-task scaling can vastly improve models on its own. Finally, we propose EXT5: a model pre-trained using a multi-task objective of self-supervised span denoising and supervised EXMIX. Via extensive experiments, we show that EXT5 outperforms strong T5 baselines on SuperGLUE, GEM, Rainbow, Closed-Book QA tasks, and several tasks outside of EXMIX. EXT5 also significantly improves sample efficiency while pre-training.",,75,0.0,,,,,
2-s2.0-105018669726,,,,Effect-Invariant Mechanisms for Policy Generalization,ar,Article,Saengkyongam S.,60025778;60025858;60030840;60077572,"University of Michigan, Ann Arbor;ETH Zürich;Københavns Universitet;Harvard John A. Paulson School of Engineering and Applied Sciences",Ann Arbor;Zurich;Copenhagen;Cambridge,United States;Switzerland;Denmark;United States,5.0,"Saengkyongam, Sorawit;Pfister, Niklas;Klasnja, Predrag;Murphy, Susan;Peters, Jonas",57211438005;57194283500;22834990200;7402778674;55705328700,60025858;60030840;60025778;60077572;60025858,2024-01-01,2024,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,25,,,,"Policy learning is an important component of many real-world learning systems. A major challenge in policy learning is how to adapt efficiently to unseen environments or tasks. Recently, it has been suggested to exploit invariant conditional distributions to learn models that generalize better to unseen environments. However, assuming invariance of entire conditional distributions (which we call full invariance) may be too strong of an assumption in practice. In this paper, we introduce a relaxation of full invariance called effect-invariance (e-invariance for short) and prove that it is sufficient, under suitable assumptions, for zero-shot policy generalization. We also discuss an extension that exploits e-invariance when we have a small sample from the test environment, enabling few-shot policy generalization. Our work does not assume an underlying causal graph or that the data are generated by a structural causal model; instead, we develop testing procedures to test e-invariance directly from data. We present empirical results using simulated data and a mobile health intervention dataset to demonstrate the effectiveness of our approach.",causality | distribution generalization | domain adaptation | invariance | policy learning,0,0.0,,,NNF,R01HL125440,Novo Nordisk Fonden
2-s2.0-85194195917,10.1613/jair.1.14741,,,"Effectiveness of Tree-based Ensembles for Anomaly Discovery: Insights, Batch and Streaming Active Learning",ar,Article,Das S.,60160236,Voiland College of Engineering and Architecture,Pullman,United States,4.0,"Das, Shubhomoy;Islam, Md Rakibul;Jayakodi, Nitthilan Kannappan;Doppa, Janardhan Rao",37035771600;57201773715;57203222491;35324430700,60160236;60160236;60160236;60160236,2024-01-01,2024,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,80,,,127-170,"Anomaly detection (AD) task corresponds to identifying the true anomalies among a given set of data instances. AD algorithms score the data instances and produce a ranked list of candidate anomalies. The ranked list of anomalies is then analyzed by a human to discover the true anomalies. Ensemble of tree-based anomaly detectors trained in an unsupervised manner and scoring based on uniform weights for ensembles are shown to work well in practice. However, the manual process of analysis can be laborious for the human analyst when the number of false-positives is very high. Therefore, in many real-world AD applications including computer security and fraud prevention, the anomaly detector must be configurable by the human analyst to minimize the effort on false positives. One important way to configure the detector is by providing true labels (nominal or anomaly) for a few instances. Recent work on active anomaly discovery has shown that greedily querying the top-scoring instance and tuning the weights of ensemble detectors based on label feedback allows us to quickly discover true anomalies. This paper makes four main contributions to improve the state-of-the-art in anomaly discovery using tree-based ensembles. First, we provide an important insight that explains the practical successes of unsupervised tree-based ensembles and active learning based on greedy query selection strategy. We also present empirical results on real-world data to support our insights and theoretical analysis to support active learning. Second, we develop a novel batch active learning algorithm to improve the diversity of discovered anomalies based on a formalism called compact description to describe the discovered anomalies. Third, we develop a novel active learning algorithm to handle streaming data setting. We present a data drift detection algorithm that not only detects the drift robustly, but also allows us to take corrective actions to adapt the anomaly detector in a principled manner. Fourth, we present extensive experiments to evaluate our insights and our tree-based active anomaly discovery algorithms in both batch and streaming data settings. Our results show that active learning allows us to discover significantly more anomalies than state-of-the-art unsupervised baselines, our batch active learning algorithm discovers diverse anomalies, and our algorithms under the streaming-data setup are competitive with the batch setup.",,2,1.0,all publisherfullgold,All Open Access Gold,NSF,2021-67021-35344,National Science Foundation
2-s2.0-85156088807,,,,Effectiveness of Vision Transformer for Fast and Accurate Single-Stage Pedestrian Detection,cp,Conference Paper,Yuan J.,60015150;60176024,Imperial College London;UCL Engineering,London;London,United Kingdom;United Kingdom,3.0,"Yuan, Jing;Barmpoutis, Panagiotis;Stathaki, Tania",57665365100;55973201200;7003386658,60015150;60176024;60015150,2022-01-01,2022,Advances in Neural Information Processing Systems,10495258.0,23669.0,,Conference Proceeding,35,,,,"Vision transformers have demonstrated remarkable performance on a variety of computer vision tasks. In this paper, we illustrate the effectiveness of the deformable vision transformer for single-stage pedestrian detection and propose a spatial and multi-scale feature enhancement module, which aims to achieve the optimal balance between speed and accuracy. Performance improvement with vision transformers on various commonly used single-stage structures is demonstrated. The design of the proposed architecture is investigated in depth. Comprehensive comparisons with state-of-the-art single- and two-stage detectors on different pedestrian datasets are performed. The proposed detector achieves leading performance on Caltech and Citypersons datasets among single- and two-stage methods using fewer parameters than the baseline. The log-average miss rates for Reasonable and Heavy are decreased to 2.6% and 28.0% on the Caltech test set, and 10.9% and 38.6% on the Citypersons validation set, respectively. The proposed method outperforms SOTA two-stage detectors in the Heavy subset on the Citypersons validation set with considerably faster inference speed.",,15,0.0,,,,,
2-s2.0-85152534945,10.1609/aaai.v37i4.25588,,,Efficient Embeddings of Logical Variables for Query Answering over Incomplete Knowledge Graphs,cp,Conference Paper,Wang D.,60026851;60018308,University of Oxford;Xi'an Jiaotong University,Oxford;Xi'an,United Kingdom;China,3.0,"Wang, Dingmin;Chen, Yeyuan;Grau, Bernardo Cuenca",57222286041;59814991900;22834310900,60026851;60018308;60026851,2023-06-27,27 June 2023,Proceedings of the 37th Aaai Conference on Artificial Intelligence Aaai 2023,,21101170618.0,,Conference Proceeding,37,,,4652-4659,"The problem of answering complex First-order Logic queries over incomplete knowledge graphs is receiving growing attention in the literature. A promising recent approach to this problem has been to exploit neural link predictors, which can be effective in identifying individual missing triples in the incomplete graph, in order to efficiently answer complex queries. A crucial advantage of this approach over other methods is that it does not require example answers to complex queries for training, as it relies only on the availability of a trained link predictor for the knowledge graph at hand. This approach, however, can be computationally expensive during inference, and cannot deal with queries involving negation. In this paper, we propose a novel approach that addresses all of these limitations. Experiments on established benchmark datasets demonstrate that our approach offers superior performance while significantly reducing inference times.",,13,1.0,all publisherfullgold,All Open Access Gold,EPSRC,EP/S019111/1,Engineering and Physical Sciences Research Council
2-s2.0-85142073494,10.1613/JAIR.1.13482,,,Efficient Learning of Interpretable Classification Rules,ar,Article,Ghosh B.,60017161,National University of Singapore,Singapore City,Singapore,3.0,"Ghosh, Bishwamittra;Malioutov, Dmitry;Meel, Kuldeep S.",57215334392;6506041378;55813479500,60017161;60017161;60017161,2022-01-01,2022,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,74,,,1823-1863,"Machine learning has become omnipresent with applications in various safety-critical domains such as medical, law, and transportation. In these domains, high-stake decisions provided by machine learning necessitate researchers to design interpretable models, where the prediction is understandable to a human. In interpretable machine learning, rule-based classifiers are particularly effective in representing the decision boundary through a set of rules comprising input features. Examples of such classifiers include decision trees, decision lists, and decision sets. The interpretability of rule-based classifiers is in general related to the size of the rules, where smaller rules are considered more interpretable. To learn such a classifier, the brute-force direct approach is to consider an optimization problem that tries to learn the smallest classification rule that has close to maximum accuracy. This optimization problem is computationally intractable due to its combinatorial nature and thus, the problem is not scalable in large datasets. To this end, in this paper we study the triangular relationship among the accuracy, interpretability, and scalability of learning rule-based classifiers. The contribution of this paper is an interpretable learning framework IMLI, that is based on maximum satisfiability (MaxSAT) for synthesizing classification rules expressible in proposition logic. IMLI considers a joint objective function to optimize the accuracy and the interpretability of classification rules and learns an optimal rule by solving an appropriately designed MaxSAT query. Despite the progress of MaxSAT solving in the last decade, the straightforward MaxSAT-based solution cannot scale to practical classification datasets containing thousands to millions of samples. Therefore, we incorporate an efficient incremental learning technique inside the MaxSAT formulation by integrating mini-batch learning and iterative rule-learning. The resulting framework learns a classifier by iteratively covering the training data, wherein in each iteration, it solves a sequence of smaller MaxSAT queries corresponding to each mini-batch. In our experiments, IMLI achieves the best balance among prediction accuracy, interpretability, and scalability. For instance, IMLI attains a competitive prediction accuracy and interpretability w.r.t. existing interpretable classifiers and demonstrates impressive scalability on large datasets where both interpretable and non-interpretable classifiers fail. As an application, we deploy IMLI in learning popular interpretable classifiers such as decision lists and decision sets. The source code is available at https://github.com/meelgroup/mlic.",,10,1.0,all publisherfullgold repository repositoryam,All Open Access Gold Green,NRF,NRF-NRFFAI1-2019-0004,National Research Foundation Singapore
2-s2.0-85203836475,,,,Efficient Mixture Learning in Black-Box Variational Inference,cp,Conference Paper,Hotti A.,60027272;60002014;113660523;122554298,The University of Edinburgh;The Royal Institute of Technology (KTH);Klarna;Science for Life Laboratory,Edinburgh;Stockholm;Stockholm;Stockholm,United Kingdom;Sweden;Sweden;Sweden,5.0,"Hotti, Alexandra;Kviman, Oskar;Molén, Ricky;Elvira, Víctor;Lagergren, Jens",57343015300;57211170113;57928730400;56369475400;7005123897,60002014-122554298-113660523;60002014-122554298;60002014-122554298;60027272;60002014-122554298,2024-01-01,2024,Proceedings of Machine Learning Research,,21101153015.0,26403498.0,Conference Proceeding,235,,,18972-18991,"Mixture variational distributions in black box variational inference (BBVI) have demonstrated impressive results in challenging density estimation tasks. However, currently scaling the number of mixture components can lead to a linear increase in the number of learnable parameters and a quadratic increase in inference time due to the evaluation of the evidence lower bound (ELBO). Our two key contributions address these limitations. First, we introduce the novel Multiple Importance Sampling Variational Autoencoder (MISVAE), which amortizes the mapping from input to mixture-parameter space using one-hot encodings. Fortunately, with MISVAE, each additional mixture component incurs a negligible increase in network parameters. Second, we construct two new estimators of the ELBO for mixtures in BBVI, enabling a tremendous reduction in inference time with marginal or even improved impact on performance. Collectively, our contributions enable scalability to hundreds of mixture components and provide superior estimation performance in shorter time, with fewer network parameters compared to previous Mixture VAEs. Experimenting with MISVAE, we achieve astonishing, SOTA results on MNIST. Furthermore, we empirically validate our estimators in other BBVI settings, including Bayesian phylogenetic inference, where we improve inference times for the SOTA mixture model on eight data sets.",,0,0.0,,,SSF,BD15-0043,Stiftelsen för Strategisk Forskning
2-s2.0-105018457846,,,,Efficient Modality Selection in Multimodal Learning,ar,Article,He Y.,60000745;60027950,University of Illinois Urbana-Champaign;Carnegie Mellon University,Urbana;Pittsburgh,United States;United States,5.0,"He, Yifei;Cheng, Runxiang;Balasubramaniam, Gargi;Tsai, Yao Hung Hubert;Zhao, Han",59043958200;57215717360;57952183200;56683697300;57001574800,60000745;60000745;60000745;60027950;60000745,2024-01-01,2024,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,25,,,,"Multimodal learning aims to learn from data of different modalities by fusing information from heterogeneous sources. Although it is beneficial to learn from more modalities, it is often infeasible to use all available modalities under limited computational resources. Modeling with all available modalities can also be inefficient and unnecessary when information across input modalities overlaps. In this paper, we study the modality selection problem, which aims to select the most useful subset of modalities for learning under a cardinality constraint. To that end, we propose a unified theoretical framework to quantify the learning utility of modalities, and we identify dependence assumptions to flexibly model the heterogeneous nature of multimodal data, which also allows efficient algorithm design. Accordingly, we derive a greedy modality selection algorithm via submodular maximization, which selects the most useful modalities with an optimality guarantee on learning performance. We also connect marginal-contribution-based feature importance scores, such as Shapley value, from the feature selection domain to the context of modality selection, to efficiently compute the importance of individual modality. We demonstrate the efficacy of our theoretical results and modality selection algorithms on 2 synthetic and 4 real-world data sets on a diverse range of multimodal data.",Feature Importance | Modality Selection | Multimodal Learning | Submodular Optimization,13,0.0,,,DARPA,HR00112320012,Defense Advanced Research Projects Agency
2-s2.0-85203795766,,,,Efficient PAC Learnability of Dynamical Systems Over Multilayer Networks,cp,Conference Paper,Qiu Z.,60021918;60279565,"University of Virginia;College of Nanotechnology, Science, and Engineering",Charlottesville;Albany,United States;United States,7.0,"Qiu, Zirou;Adiga, Abhijin;Marathe, Madhav V.;Ravi, S. S.;Rosenkrantz, Daniel J.;Stearns, Richard E.;Vullikanti, Anil",57760842600;24376198600;7005103606;7005265891;7004229410;7006322071;24077196600,60021918;60021918;60021918;60021918-60279565;60021918-60279565;60021918-60279565;60021918,2024-01-01,2024,Proceedings of Machine Learning Research,,21101153015.0,26403498.0,Conference Proceeding,235,,,41557-41581,"Networked dynamical systems are widely used as formal models of real-world cascading phenomena, such as the spread of diseases and information. Prior research has addressed the problem of learning the behavior of an unknown dynamical system when the underlying network has a single layer. In this work, we study the learnability of dynamical systems over multilayer networks, which are more realistic and challenging. First, we present an efficient PAC learning algorithm with provable guarantees to show that the learner only requires a small number of training examples to infer an unknown system. We further provide a tight analysis of the Natarajan dimension which measures the model complexity. Asymptotically, our bound on the Nararajan dimension is tight for almost all multilayer graphs. The techniques and insights from our work provide the theoretical foundations for future investigations of learning problems for multilayer dynamical systems.",,0,0.0,,,UV,SIF160,University of Virginia
2-s2.0-85149162504,,,,Efficient Structure-preserving Support Tensor Train Machine,ar,Article,Kour K.,60008069;60016025;60171512,"Technische Universität Chemnitz;Max Planck Institute for Dynamics of Complex Technical Systems;University of Bath, Department of Mathematical Sciences",Chemnitz;Magdeburg;Bath,Germany;Germany;United Kingdom,4.0,"Kour, Kirandeep;Benner, Peter;Dolgov, Sergey;Stoll, Martin",57219508412;22733643800;57200590946;8906428600,60016025;60016025;60171512-60008069;60008069,2023-01-01,2023,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,24,,,,"An increasing amount of the collected data are high-dimensional multi-way arrays (tensors), and it is crucial for efficient learning algorithms to exploit this tensorial structure as much as possible. The ever present curse of dimensionality for high dimensional data and the loss of structure when vectorizing the data motivates the use of tailored low-rank tensor classification methods. In the presence of small amounts of training data, kernel methods offer an attractive choice as they provide the possibility for a nonlinear decision boundary. We develop the Tensor Train Multi-way Multi-level Kernel (TT-MMK), which combines the simplicity of the Canonical Polyadic decomposition, the classification power of the Dual Structure-preserving Support Vector Machine, and the reliability of the Tensor Train (TT) approximation. We show by experiments that the TT-MMK method is usually more reliable computationally, less sensitive to tuning parameters, and gives higher prediction accuracy in the SVM classification when benchmarked against other state-of-the-art techniques.",Classification | High-dimensional Data | Kernel Approximation | Support Vector Machine | Tensor Decomposition,13,0.0,,,,,
2-s2.0-85208284993,10.1613/jair.1.15024,,,Efficient and Fair Healthcare Rationing,ar,Article,Aziz H.,60028333;60007493,UNSW Sydney;Universität Bonn,Sydney;Bonn,Australia;Germany,2.0,"Aziz, Haris;Brandl, Florian",24824231400;24582982500,60028333;60007493,2024-01-01,2024,Journal of Artificial Intelligence Research,10769757.0,24330.0,,Journal,81,,,337-358,"The rationing of healthcare resources has emerged as an important issue, which has been discussed by medical experts, policy-makers, and the general public. We consider a rationing problem where medical units are to be allocated to patients. Each unit is reserved for one of several categories, and each category has a priority ranking over the patients. We present a class of allocation rules that respect the priorities, comply with the eligibility requirements, allocate the largest feasible number of units, and do not penalize agents for rising in the priority ranking of a category. The rules characterize all possible allocations that satisfy the first three properties and are polynomial-time computable.",,1,1.0,all publisherfullgold,All Open Access Gold,DFG,EXC-2047,Deutsche Forschungsgemeinschaft
2-s2.0-85137855135,10.24963/ijcai.2022/184,,,Emotion-Controllable Generalized Talking Face Generation,cp,Conference Paper,Sinha S.,60021988;60283297,Indian Institute of Technology Kanpur;TCS Research,Kanpur;Mumbai,India;India,4.0,"Sinha, Sanjana;Biswas, Sandika;Yadav, Ravindra;Bhowmick, Brojeshwar",57192913784;56784993700;57216953549;26422776800,60283297;60283297;60021988;60283297,2022-01-01,2022,Ijcai International Joint Conference on Artificial Intelligence,10450823.0,19400157504.0,,Conference Proceeding,,,,1320-1327,"Despite the significant progress in recent years, very few of the AI-based talking face generation methods attempt to render natural emotions. Moreover, the scope of the methods is majorly limited to the characteristics of the training dataset, hence they fail to generalize to arbitrary unseen faces. In this paper, we propose a one-shot facial geometry-aware emotional talking face generation method that can generalize to arbitrary faces. We propose a graph convolutional neural network that uses speech content feature, along with an independent emotion input to generate emotion and speech-induced motion on facial geometry-aware landmark representation. This representation is further used in our optical flow-guided texture generation network for producing the texture. We propose a two-branch texture generation network, with motion and texture branches designed to consider the motion and texture content independently. Compared to the previous emotion talking face methods, our method can adapt to arbitrary faces captured in-the-wild by fine-tuning with only a single image of the target identity in neutral emotion.",,16,1.0,all publisherfree2read,All Open Access Bronze,,,
2-s2.0-85137863020,10.24963/ijcai.2022/672,,,Empirical Bayesian Approaches for Robust Constraint-based Causal Discovery under Insufficient Data,cp,Conference Paper,Cui Z.,60025534;60009509,Rensselaer Polytechnic Institute;Northeast Normal University,Troy;Changchun,United States;China,4.0,"Cui, Zijun;Yin, Naiyu;Wang, Yuru;Ji, Qiang",57221150132;57764944800;49864758200;57202596129,60025534;60025534;60009509;60025534,2022-01-01,2022,Ijcai International Joint Conference on Artificial Intelligence,10450823.0,19400157504.0,,Conference Proceeding,,,,4850-4856,"Causal discovery is to learn cause-effect relationships among variables given observational data and is important for many applications. Existing causal discovery methods assume data sufficiency, which may not be the case in many real world datasets. As a result, many existing causal discovery methods can fail under limited data. In this work, we propose Bayesian-augmented frequentist independence tests to improve the performance of constraint-based causal discovery methods under insufficient data: 1) We firstly introduce a Bayesian method to estimate mutual information (MI), based on which we propose a robust MI based independence test; 2) Secondly, we consider the Bayesian estimation of hypothesis likelihood and incorporate it into a well-defined statistical test, resulting in a robust statistical testing based independence test. We apply proposed independence tests to constraint-based causal discovery methods and evaluate the performance on benchmark datasets with insufficient samples. Experiments show significant performance improvement in terms of both accuracy and efficiency over SOTA methods.",,1,1.0,all publisherfree2read,All Open Access Bronze,DARPA,FA8750-17-2-0132,Defense Advanced Research Projects Agency
2-s2.0-85124218098,,,,Empirical Risk Minimization under Random Censorship,ar,Article,Ausset G.,60030553;60116488,Université de Rennes;Institut Polytechnique de Paris,Rennes;Palaiseau,France;France,3.0,"Ausset, Guillaume;Clémençon, Stephan;Portier, François",57219623283;6508167584;55444373400,60116488;60116488;60030553,2022-01-01,2022,Journal of Machine Learning Research,15324435.0,20969.0,15337928.0,Journal,23,,,,"We consider the classic supervised learning problem where a continuous non-negative random label Y (e.g. a random duration) is to be predicted based upon observing a random vector X valued in R<sup>d</sup> with d ≥ 1 by means of a regression rule with minimum least square error. In various applications, ranging from industrial quality control to public health through credit risk analysis for instance, training observations can be right censored, meaning that, rather than on independent copies of (X, Y ), statistical learning relies on a collection of n ≥ 1 independent realizations of the triplet (X, min{Y, C}, δ), where C is a nonnegative random variable with unknown distribution, modelling censoring and δ = I{Y ≤ C} indicates whether the duration is right censored or not. As ignoring censoring in the risk computation may clearly lead to a severe underestimation of the target duration and jeopardize prediction, we consider a plug-in estimate of the true risk based on a Kaplan-Meier estimator of the conditional survival function of the censoring C given X, referred to as Beran risk, in order to perform empirical risk minimization. It is established, under mild conditions, that the learning rate of minimizers of this biased/weighted empirical risk functional is of order (Formula Presented) when ignoring model bias issues inherent to plug-in estimation, as can be attained in absence of censoring. Beyond theoretical results, numerical experiments are presented in order to illustrate the relevance of the approach developed.",Censored data | Empirical risk minimization | Statistical learning theory | Survival data analysis | U-processes,3,0.0,,,,,
2-s2.0-85135725446,10.1609/aaai.v36i4.20300,,,Encoding Multi-Valued Decision Diagram Constraints as Binary Constraint Trees,cp,Conference Paper,Wang R.,60017161,National University of Singapore,Singapore City,Singapore,2.0,"Wang, Ruiwei;Yap, Roland H.C.",57190348024;7003447860,60017161;60017161,2022-06-30,30 June 2022,Proceedings of the 36th Aaai Conference on Artificial Intelligence Aaai 2022,,21101133594.0,,Conference Proceeding,36,,,3850-3858,"Ordered Multi-valued Decision Diagram (MDD) is a compact representation used to model various constraints, such as regular constraints and table constraints. It can be particularly useful for representing ad-hoc problem specific constraints. Many algorithms have been proposed to enforce Generalized Arc Consistency (GAC) on MDD constraints. In this paper, we introduce a new compact representation called Binary Constraint Tree (BCT). We propose tree binary encodings to transform any MDD constraint into a BCT constraint. We also present a specialized algorithm enforcing GAC on the BCT constraint resulting from a MDD constraint. Experimental results on a large set of benchmarks show that the BCT GAC algorithm can significantly outperform state-of-the-art MDD as well as table GAC algorithms.",,7,1.0,all publisherfullgold,All Open Access Gold,NRF,AISG-RP-2018-005,National Research Foundation Singapore
2-s2.0-85147684093,10.1609/aaai.v36i4.20379,,,End-to-End Line Drawing Vectorization,cp,Conference Paper,Liu H.,60002798;60175941,Chinese University of Hong Kong;Saint Francis University,Hong Kong;Hong Kong,Hong Kong;Hong Kong,4.0,"Liu, Hanyuan;Li, Chengze;Liu, Xueting;Wong, Tien Tsin",57961984500;56589218400;55932112600;7403531614,60002798;60175941;60175941;60002798,2022-06-30,30 June 2022,Proceedings of the 36th Aaai Conference on Artificial Intelligence Aaai 2022,,21101133594.0,,Conference Proceeding,36,,,4559-4566,"Vector graphics is broadly used in a variety of forms, such as illustrations, logos, posters, billboards, and printed ads. Despite its broad use, many artists still prefer to draw with pen and paper, which leads to a high demand of converting raster designs into the vector form. In particular, line drawing is a primary art and attracts many research efforts in automatically converting raster line drawings to vector form. However, the existing methods generally adopt a two-step approach, stroke segmentation and vectorization. Without vector guidance, the raster-based stroke segmentation frequently obtains unsatisfying segmentation results, such as over-grouped strokes and broken strokes. In this paper, we make an attempt in proposing an end-to-end vectorization method which directly generates vectorized stroke primitives from raster line drawing in one step. We propose a Transformer-based framework to perform stroke tracing like human does in an automatic stroke-by-stroke way with a novel stroke feature representation and multi-modal supervision to achieve vectorization with high quality and fidelity. Qualitative and quantitative evaluations show that our method achieves state of the art performance.",,9,1.0,all publisherfullgold,All Open Access Gold,CUHK,4055152,Chinese University of Hong Kong
2-s2.0-85174419276,,,,End-to-end Differentiable Clustering with Associative Memories,cp,Conference Paper,Saha B.,60025534;60011048,Rensselaer Polytechnic Institute;IBM Research,Troy;Yorktown Heights,United States;United States,4.0,"Saha, Bishwajit;Krotov, Dmitry;Zaki, Mohammed J.;Ram, Parikshit",58487719700;57147760800;7202243707;36454969300,60025534;60011048;60025534;60011048,2023-01-01,2023,Proceedings of Machine Learning Research,,21101153015.0,26403498.0,Conference Proceeding,202,,,29649-29670,"Clustering is a widely used unsupervised learning technique involving an intensive discrete optimization problem. Associative Memory models or AMs are differentiable neural networks defining a recursive dynamical system, which have been integrated with various deep learning architectures. We uncover a novel connection between the AM dynamics and the inherent discrete assignment necessary in clustering to propose a novel unconstrained continuous relaxation of the discrete clustering problem, enabling end-to-end differentiable clustering with AM, dubbed ClAM. Leveraging the pattern completion ability of AMs, we further develop a novel self-supervised clustering loss. Our evaluations on varied datasets demonstrate that ClAM benefits from the self-supervision, and significantly improves upon both the traditional Lloyd's k-means algorithm, and more recent continuous clustering relaxations (by upto 60% in terms of the Silhouette Coefficient).",,2,0.0,,,IBM,,International Business Machines Corporation
2-s2.0-85170380294,10.24963/ijcai.2023/226,,,Engineering an Efficient Approximate DNF-Counter,cp,Conference Paper,Soos M.,60017161;60024948;60095887,"National University of Singapore;Indian Statistical Institute, Kolkata;Centre for Quantum Technologies",Singapore City;Kolkata;Singapore City,Singapore;India;Singapore,5.0,"Soos, Mate;Aggarwal, Divesh;Chakraborty, Sourav;Meel, Kuldeep S.;Obremski, Maciej",36715713100;14007771800;35483329200;55813479500;55861204400,60017161;60017161-60095887;60024948;60017161;60095887,2023-01-01,2023,Ijcai International Joint Conference on Artificial Intelligence,10450823.0,19400157504.0,,Conference Proceeding,2023-August,,,2031-2038,"Model counting is a fundamental problem in many practical applications, including query evaluation in probabilistic databases and failure-probability estimation of networks. In this work, we focus on a variant of this problem where the underlying formula is expressed in Disjunctive Normal Form (DNF), also known as #DNF. This problem has been shown to be #P-complete, making it often intractable to solve exactly. Much research has therefore focused on obtaining approximate solutions, particularly in the form of (ε, δ) approximations. The primary contribution of this paper is a new approach, called pepin, an approximate #DNF counter that significantly outperforms prior state of the art approaches. Our work is based on the recent breakthrough in the context of union of sets in the streaming model. We demonstrate the effectiveness of our approach through extensive experiments and show that it provides an affirmative answer to the challenge of efficiently computing #DNF.",,3,1.0,all publisherfullgold,All Open Access Gold,NRF,NRF-NRFFAI1-2019-0004,National Research Foundation Singapore
